(Threshold 1 (Usual care)),(Threshold 4 (SF < 110))
8.529012895,7.80137723
8.181999635,5.020949507
8.702186063,9.072332525
8.225052835,8.282382665
6.209593026,6.245830483
9.88200952,7.321732446
8.646268173,7.963613748
6.710011804,9.425582066
5.44733358,8.860443906
7.927984429,9.027509039
8.172130122,9.118452049
9.70692274,10.79839814
10.43129707,9.540783863
7.933486212,7.746024109
8.063911221,9.500557103
6.562239258,9.382925713
8.656877189,8.014665408
6.349240001,6.485303763
7.858788893,9.546154363
8.154593952,6.638673325
9.064798152,8.737959656
11.31454094,10.8992908
9.603281741,10.35346074
10.04947737,8.512627017
8.190185385,10.07521329
8.16611385,7.971915081
9.345805097,9.295361661
9.050348506,7.930050121
10.58321912,7.234182075
5.507411981,7.420628271
9.229061404,7.497334585
7.829543161,7.649581065
9.34660816,9.087196544
7.301454418,10.00304265
8.668330802,9.671840777
8.747270506,8.146295504
6.788373579,10.45519478
4.401084193,7.296960288
6.7061562,7.063106001
10.37872047,8.01519301
7.49842374,8.347420778
8.213405605,8.550855615
8.686563583,9.325028497
7.305379466,10.09365948
10.49819891,8.72248667
5.847388202,5.487092188
9.301894951,8.198321971
5.284890102,6.553251164
7.001780542,7.639360172
8.156326583,5.29943419
10.84554367,8.448562251
7.182487197,8.792955531
8.245817557,9.651238184
5.226454306,6.01625101
6.810264122,7.50977169
9.326036095,8.215259185
6.783245373,9.222523002
8.724281072,7.260493244
6.710370026,7.877407087
10.61792081,9.51892426
5.1996032,6.715290222
10.28387595,10.58855132
7.188900693,9.659569816
6.765505964,8.694394373
6.932663992,5.370594959
5.726676657,8.112816591
8.817977032,7.880965278
7.775281484,6.972594831
6.023468296,11.01748952
8.886137961,9.780973265
7.385111484,7.351427705
9.625131279,9.45115977
8.029046904,7.7499673080000004
6.713798026,7.736404312
8.481762738,9.550134143
6.311378188,9.06233472
8.101566385,9.321462024
8.996088678,8.729085033
6.502177226,8.311830004
10.0750046,9.444417878
11.30664169,10.47262015
9.058256449,9.410297838
8.244183165,9.410395107
9.659749791,8.491016862
6.776766991,9.076201984
7.015218511,6.311983082
8.195881362,9.639801984
7.658893837,9.054270262
8.007726969,8.572326445
7.416163795,9.657673959
7.797813349,9.26013875
8.81805483,7.736133416
8.125339236,8.313719203
7.683088757,7.115745466
8.803525733,8.873654438
9.446578388,5.911850775
8.372207056,7.851246587
8.06119699,9.197698384
7.217119345,7.673572992
7.301952185,10.34121677
5.540348786,9.583933355
8.086813423,7.555499746
10.3277309,8.673580628
8.186063435,8.04058125
7.782141931,8.713034947
6.972735115,8.8298573
8.341484177,4.8160652
8.771296995,8.57448038
9.353785074,7.983369901
8.575395757,8.327872883
9.735999365,8.76143415
6.655979728,7.652367796
6.9489913,8.33612253
7.026754261,7.532315035
8.65004122,7.104988375
7.151241239,9.311579275
9.248511787,6.66335132
6.137763979,8.651321063
9.939536888,6.502203236
9.457650174,9.267979135
8.926316312,7.855296698
7.519312929,8.324269314
5.636833019,7.69135868
10.16891791,9.469426378
7.29341237,8.898786076
10.06926622,9.614896863
9.631421795,9.114422672
9.722358891,8.727525524
10.52761338,9.575845292
7.989323633,7.400210752
8.799874552,8.297517249
6.618999761,8.627328966
9.675215794,10.11750222
10.50560946,8.549539347
8.408895756,8.757123919
7.776458205,8.369644529
8.616324784,8.052777675
10.32221452,7.201634294
7.83351399,7.148330464
8.757938659,5.757536925
7.479147155,6.340729555
7.9237471,9.536119011
7.888071956,7.064966059
8.995149688,6.821498832
6.824693711,8.103414941
7.101381747,8.149405526
7.01670286,10.44553308
8.24395537,8.511017442
8.127368207,8.336642588
8.905358644,8.953530961
7.961779911,7.149093466
7.862085586,9.708093628
8.357658478,8.26891626
7.459904727,8.471244133
9.188635017,9.632981909
10.55332265,8.275247846
8.063167072,9.895659951
8.743505223,9.245165307
7.153317075,6.841288763
6.506261643,9.347574907
9.160682783,7.773921416
8.533584541,9.802318503
10.5188258,7.02125774
8.74734229,8.744937599
6.885718089,7.12636008
9.104972763,10.26115079
9.175868775,8.605619715
8.716509988,7.1967222
8.946702771,8.520028847
6.403935976,8.535869033
