"Cost
(Threshold Usual care)","Cost
(Threshold SF < 88)"
72145.56344,67615.73828
89148.33268,73666.55928
75431.75121,75007.16513
76079.41112,76513.43648
73194.96955,72438.6432
72089.4397,72558.65875
93039.23852,88725.10132
77103.19132,72007.00371
75464.47389,70116.23362
73769.67394,79566.77114
74190.38247,76149.27786
84340.24878,82139.08911
76765.40891,75478.01819
75968.93422,70081.23118
73352.21707,77001.23204
85909.20281,83688.52006
80617.33425,73437.22348
71652.56911,73723.15908
75862.64948,70713.34981
75657.241,75729.91352
74381.6752,67444.62321
72666.32686,70848.17192
80996.72173,69917.59544
76322.89413,70686.45896
73163.19554,69690.26239
73463.22336,64083.78238
72213.51863,72417.99258
75046.24351,71687.5683
76216.37678,72052.05
76336.10352,80015.08924
79481.90386,76644.57808
72906.82277,68818.81583
77373.91051,78261.48774
68105.97635,63543.51865
72625.84928,66567.03861
87118.88036,83665.22044
76216.06217,74907.59318
66984.51956,62659.56542
81220.5156,83833.01257
69966.35794,80161.80221
65923.28275,64803.79472
75227.51566,64939.14669
66934.93114,60431.02417
74754.48637,74212.11658
78165.95076,67574.0928
87463.0231,85920.36911
64098.21289,70857.20785
80256.77291,73511.02682
66263.36665,64614.64344
69229.31844,65853.80454
78621.07286,73418.76458
77408.61775,88698.9982
73991.21698,68876.47044
71969.30696,73149.89669
69127.40565,65246.83313
85710.64384,76421.84075
88707.26381,83179.47528
87570.54352,85287.63954
78482.74429,70148.82764
69644.78069,74372.93996
78294.15207,70135.30382
75275.86191,70574.12528
66096.09942,72105.28874
67258.64618,69663.27669
70556.26747,78599.6556
69978.68134,76032.448
69936.03596,69987.26947
75828.47958,69835.90565
78923.6057,71586.25507
65558.04281,63114.37571
65777.35498,66980.10026
88831.77604,85787.10495
80532.73945,78399.17193
75959.92261,74318.39713
72207.02811,63069.69805
82752.71389,87150.09563
88348.93369,82247.13703
71608.96306,70327.26669
73545.17022,69558.80112
67961.93802,70452.67531
87443.4585,83650.8872
79055.8924,75635.8615
80581.83566,76843.25787
78287.15263,70285.39635
72688.86638,84573.28686
74949.72067,65331.39475
78778.31361,76518.0672
83501.23251,81596.00623
69268.97521,62488.30002
81444.64481,73487.21803
75786.81873,73078.88325
82102.275,76047.52952
78467.62711,69750.996
72871.37361,69652.17292
71472.06533,66914.56298
70817.29742,69796.08173
68765.0351,67320.85529
66235.23872,62098.37187
69753.58229,68739.75108
65657.77236,63810.26698
75089.13258,66582.02112
70155.56645,70525.60499
66870.06007,64165.82483
81872.29378,73349.34801
71071.78946,71333.67858
68039.69205,62997.68334
79590.64222,73405.77956
82157.21657,74194.22134
77724.32924,77890.89056
79001.59035,72822.0758
77545.43569,76918.18322
74016.63417,72679.79041
82221.51806,75029.2003
67251.49329,66360.75754
78572.31414,80463.44552
69301.44446,64660.12259
83807.41575,78695.46833
73947.30318,64388.19725
67579.11961,64009.54584
86359.06437,81174.60641
76842.11484,78216.91985
61022.69249,60888.87409
68226.59965,66132.09366
76814.40868,74305.54587
72595.93278,71049.22626
75197.29037,73374.03718
